"id"	"sex"	"age"	"race"	"color"	"word"	"education"	"boxes"	"accuracy"	"confidence"	"rt"	"interest"
"1"	1	1	25	"black"	"red"	"eyepatch"	NA	1	0	75	655.330893516531	5
"2"	2	0	26	"white"	"red"	"eyepatch"	"BA"	2	1	68	829.467595460431	3
"3"	3	1	25	"hispanic"	"orange"	"eyepatch"	"HighSchool"	3	0	49	835.672701710493	5
"4"	4	1	31	"black"	"red"	"glasses"	"BA"	4	0	33	828.684340248173	5
"5"	5	0	28	"white"	"red"	"ship"	"PhD"	5	0	20	904.728060814864	2
"6"	6	1	22	"white"	"red"	"glasses"	"MS"	1	1	74	708.795679949232	NA
"7"	7	0	21	"black"	"red"	"accurate"	"PhD"	2	0	60	699.44177470037	4
"8"	8	1	20	"white"	"orange"	"eyepatch"	"PhD"	3	0	41	860.698973880588	5
"9"	9	1	23	"asian"	"orange"	"eyepatch"	"HighSchool"	4	0	35	914.377827331535	4
"10"	10	1	21	"hispanic"	"red"	"eyepatch"	"MS"	5	0	31	859.496114549972	4
"11"	11	1	24	"white"	"orange"	"glasses"	"HighSchool"	1	1	72	560.120137359115	6
"12"	12	1	24	"white"	"orange"	"eyepatch"	"MS"	2	1	55	813.97810404534	5
"13"	13	1	26	"white"	"red"	"glasses"	"PhD"	3	1	40	819.783758577202	5
"14"	14	0	25	"white"	"orange"	"eyepatch"	"MS"	4	0	11	927.057060556167	2
"15"	15	0	24	"black"	"red"	"eyepatch"	"MS"	5	0	17	910.555517472014	3
"16"	16	0	26	"black"	"orange"	"accurate"	"HighSchool"	1	0	73	676.856077057705	4
"17"	17	1	23	"white"	"orange"	"accurate"	"PhD"	2	0	59	603.584226839288	5
"18"	18	0	25	"other"	"orange"	"accurate"	"MS"	3	0	40	778.886132462397	2
"19"	19	1	27	"other"	NA	"eyepatch"	"BA"	4	0	41	673.634404715797	5
"20"	20	1	23	"white"	"orange"	"ship"	"PhD"	5	0	13	985.27723017438	3
"21"	21	0	27	NA	"red"	"eyepatch"	"HighSchool"	1	1	73	561.829340769447	4
"22"	22	1	24	"other"	"red"	"accurate"	"PhD"	2	0	69	624.173476487446	5
"23"	23	1	25	"other"	"orange"	"glasses"	"HighSchool"	3	1	45	820.173767977022	5
"24"	24	1	29	"hispanic"	"orange"	"eyepatch"	"BA"	4	0	24	940.763156672718	4
"25"	25	1	25	NA	"orange"	"glasses"	"MS"	5	0	11	936.804993088888	4
"26"	26	1	28	"black"	"red"	"glasses"	"PhD"	1	0	79	571.713624636867	5
"27"	27	0	24	"white"	"orange"	"glasses"	"PhD"	2	0	59	787.909338515291	3
"28"	28	0	24	"black"	"orange"	"glasses"	"HighSchool"	3	0	44	735.900977088017	2
"29"	29	1	24	"other"	"orange"	"glasses"	"BA"	4	0	13	952.316460309316	4
"30"	30	0	29	"other"	"red"	"glasses"	"HighSchool"	5	0	15	919.893980097262	3
"31"	31	0	24	"white"	"red"	"eyepatch"	"BA"	1	1	75	566.566720219249	4
"32"	32	1	28	"white"	"orange"	"accurate"	"BA"	2	0	59	686.931506877801	5
"33"	33	0	28	"asian"	"red"	"eyepatch"	"PhD"	3	0	40	826.682954692962	3
"34"	34	0	21	"white"	"orange"	"glasses"	"HighSchool"	4	0	32	861.171122869676	3
"35"	35	0	26	"white"	"red"	"ship"	"PhD"	5	0	22	877.396920542538	3
"36"	36	0	25	"asian"	"red"	"glasses"	"MS"	1	0	71	764.923209835761	5
"37"	37	1	23	"white"	"red"	"accurate"	"BA"	2	0	65	636.585599434178	5
