"sex"	"age"	"major"	"haircolor"	"iq"	"country"	"logic"	"siblings"	"multitasking"	"partners"	"marijuana"	"risk"
"m"	22	"economics"	"blonde"	106	"switzerland"	7.43	1	69	6	1	0
"m"	20	"psychology"	"brown"	107	"germany"	9.72	1	49	4	1	1
"f"	23	"chemistry"	"brown"	109	"austria"	12.88	3	50	11	1	1
"m"	27	"psychology"	"blonde"	114	"switzerland"	7.92	3	50	14	1	0
"m"	18	"psychology"	"black"	113	"switzerland"	7.95	2	61	0	1	1
"m"	25	"chemistry"	"blonde"	108	"switzerland"	12.19	2	37	14	1	0
"f"	20	"psychology"	"blonde"	100	"switzerland"	5.97	1	58	4	1	1
"m"	27	"psychology"	"black"	119	"germany"	7.91	3	58	14	1	0
"f"	26	"psychology"	"black"	104	"germany"	11.67	2	44	11	0	0
"m"	21	"biology"	"brown"	108	"switzerland"	11.22	2	49	2	0	0
"f"	22	"psychology"	"brown"	111	"switzerland"	12.17	5	53	6	1	0
"f"	23	"economics"	"blonde"	112	"austria"	10.35	3	58	3	1	0
"m"	22	"psychology"	"brown"	104	"austria"	13.03	3	49	6	1	1
"m"	28	"psychology"	"black"	112	"germany"	9.57	2	45	13	0	0
"f"	23	"psychology"	"brown"	114	"switzerland"	9.78	3	58	7	0	0
"f"	22	"psychology"	"red"	112	"switzerland"	9.28	2	52	7	1	0
"m"	24	"psychology"	"brown"	114	"germany"	10.65	3	41	11	1	1
"m"	23	"economics"	"blonde"	106	"switzerland"	5.97	2	35	7	0	0
"m"	23	"psychology"	"blonde"	109	"switzerland"	9.7	5	56	7	0	0
"f"	23	"economics"	"black"	115	"switzerland"	8.14	2	38	10	0	0
"f"	24	"psychology"	"black"	113	"switzerland"	10.56	2	36	13	0	1
"f"	21	"psychology"	"blonde"	112	"switzerland"	11.63	3	42	7	1	0
"f"	21	"psychology"	"blonde"	115	"italy"	9.14	4	42	4	1	1
"f"	26	"chemistry"	"black"	108	"switzerland"	11.14	1	32	12	1	0
"m"	19	"psychology"	"brown"	113	"germany"	10.35	2	52	6	0	0
"m"	23	"chemistry"	"blonde"	106	"switzerland"	12.23	1	38	8	1	0
"f"	21	"economics"	"brown"	109	"germany"	8.83	2	41	3	1	0
"f"	24	"psychology"	"red"	111	"italy"	6.52	1	45	6	1	0
"f"	25	"psychology"	"brown"	113	"germany"	11.31	2	34	10	0	0
"m"	19	"biology"	"brown"	97	"germany"	9.63	1	45	0	1	0
"m"	25	"psychology"	"black"	116	"switzerland"	11.28	3	19	11	0	1
"f"	23	"psychology"	"brown"	112	"switzerland"	9.94	3	24	9	0	1
"m"	20	"psychology"	"brown"	117	"switzerland"	12	3	56	6	1	1
"f"	19	"psychology"	"brown"	116	"germany"	8.72	2	28	2	0	0
"f"	24	"psychology"	"brown"	113	"switzerland"	10.5	4	40	8	0	0
"f"	23	"psychology"	"red"	111	"switzerland"	11.15	4	32	11	0	0
"m"	23	"psychology"	"black"	113	"switzerland"	8.73	1	38	3	1	0
"f"	25	"psychology"	"red"	110	"germany"	11.71	3	46	8	0	1
"f"	26	"economics"	"brown"	113	"austria"	12.21	2	62	10	1	1
"m"	23	"psychology"	"black"	112	"italy"	5.19	3	59	10	0	0
"m"	22	"economics"	"brown"	114	"switzerland"	8.6	1	47	5	1	0
"f"	26	"psychology"	"brown"	107	"austria"	10.06	2	40	9	1	1
"f"	21	"psychology"	"blonde"	108	"austria"	13.43	3	50	4	0	0
"f"	21	"psychology"	"blonde"	112	"germany"	7.74	3	36	6	1	1
"f"	22	"psychology"	"blonde"	104	"germany"	12.17	5	30	2	1	0
"m"	28	"psychology"	"black"	108	"germany"	12.61	1	48	16	1	0
"f"	21	"psychology"	"blonde"	111	"germany"	8.02	1	28	4	1	0
"f"	24	"chemistry"	"brown"	119	"switzerland"	9.55	2	35	10	1	0
"m"	21	"psychology"	"blonde"	114	"switzerland"	9.72	4	51	5	0	0
"m"	21	"economics"	"brown"	103	"germany"	10.79	2	46	3	0	1
"m"	22	"psychology"	"brown"	101	"switzerland"	6.12	2	58	4	1	1
"m"	26	"psychology"	"blonde"	105	"germany"	3.36	3	59	8	1	0
"m"	22	"psychology"	"blonde"	105	"germany"	11.88	1	42	6	1	1
"m"	25	"psychology"	"black"	107	"switzerland"	10.07	4	40	8	0	1
"f"	20	"psychology"	"brown"	112	"germany"	9.48	3	40	0	0	0
"m"	22	"psychology"	"blonde"	115	"switzerland"	10.69	3	44	5	0	1
"m"	21	"economics"	"black"	111	"switzerland"	10.3	2	53	4	0	0
"m"	22	"psychology"	"blonde"	112	"switzerland"	11.88	2	57	11	0	0
