"acceptability"	"important"	"direct"	"cover"	"gender"	"age"	"storycomp"	"itemcomp"	"ownercomp"	"failed"
"1"	3	1	1	1	1	40	4	1	1	1
"2"	3	1	1	1	2	27	4	1	1	1
"3"	4	1	1	1	1	41	4	1	1	1
"4"	7	1	1	1	1	32	4	1	1	1
"5"	4	1	1	1	1	28	4	3	2	1
"6"	1	1	1	1	1	30	4	1	2	NA
"7"	1	1	1	1	1	22	4	1	2	NA
"8"	1	1	1	1	1	48	4	1	2	NA
"9"	1	1	1	1	2	55	4	1	2	NA
"10"	1	1	1	1	2	26	4	1	2	NA
"11"	1	1	1	1	2	28	4	1	2	NA
"12"	1	1	1	1	2	40	4	1	2	NA
"13"	3	1	1	1	2	24	4	1	2	NA
"14"	3	1	1	1	1	29	4	1	2	NA
"15"	3	1	1	1	2	25	4	1	2	NA
"16"	3	1	1	1	1	24	4	1	2	NA
"17"	3	1	1	1	1	39	4	1	2	NA
"18"	3	1	1	1	1	32	4	1	2	NA
"19"	3	1	1	1	2	25	4	1	2	NA
"20"	3	1	1	1	2	28	4	1	2	NA
"21"	3	1	1	1	2	31	4	1	2	NA
"22"	3	1	1	1	2	21	4	1	2	NA
"23"	4	1	1	1	1	21	4	1	2	NA
"24"	4	1	1	1	1	26	4	1	2	NA
"25"	4	1	1	1	1	20	4	1	2	NA
"26"	4	1	1	1	1	22	4	1	2	NA
"27"	5	1	1	1	1	27	4	1	2	NA
"28"	5	1	1	1	2	27	4	1	2	NA
"29"	5	1	1	1	1	25	4	1	2	NA
"30"	5	1	1	1	1	20	4	1	2	NA
"31"	5	1	1	1	1	28	4	1	2	NA
"32"	5	1	1	1	1	40	4	1	2	NA
"33"	5	1	1	1	1	21	4	1	2	NA
"34"	5	1	1	1	2	29	4	1	2	NA
"35"	5	1	1	1	2	56	4	1	2	NA
"36"	6	1	1	1	2	49	4	1	2	NA
"37"	6	1	1	1	2	29	4	1	2	NA
"38"	6	1	1	1	1	26	4	1	2	NA
"39"	6	1	1	1	2	23	4	1	2	NA
"40"	7	1	1	1	1	23	4	1	2	NA
"41"	7	1	1	1	2	22	4	1	2	NA
"42"	7	1	1	1	1	33	4	1	2	NA
"43"	7	1	1	1	1	26	4	1	2	NA
"44"	7	1	1	1	1	34	4	1	2	NA
"45"	7	1	1	1	1	21	4	1	2	NA
"46"	7	1	1	1	1	23	4	1	2	NA
"47"	7	1	1	1	1	24	4	1	2	NA
"48"	7	1	1	1	2	34	4	1	2	NA
"49"	7	1	1	1	1	24	4	1	2	NA
"50"	7	1	1	1	1	22	4	1	2	NA
"51"	8	1	1	1	1	27	4	1	2	NA
"52"	9	1	1	1	1	33	4	1	2	NA
"53"	9	1	1	1	1	24	4	1	2	NA
"54"	1	1	1	2	2	59	1	1	3	1
"55"	3	1	1	2	1	19	1	1	3	1
"56"	3	1	1	2	2	30	1	1	3	1
"57"	4	1	1	2	NA	NA	1	1	3	1
"58"	1	1	1	2	1	20	1	3	4	1
"59"	1	1	1	2	2	55	1	NA	4	1
"60"	5	1	1	2	NA	NA	NA	NA	NA	1
"61"	1	1	1	2	2	49	1	1	4	NA
"62"	1	1	1	2	2	26	1	1	4	NA
"63"	1	1	1	2	1	25	1	1	4	NA
"64"	1	1	1	2	1	27	1	1	4	NA
"65"	1	1	1	2	1	31	1	1	4	NA
"66"	2	1	1	2	1	25	1	1	4	NA
"67"	3	1	1	2	1	34	1	1	4	NA
"68"	3	1	1	2	1	25	1	1	4	NA
"69"	3	1	1	2	1	23	1	1	4	NA
"70"	3	1	1	2	1	33	1	1	4	NA
"71"	3	1	1	2	2	30	1	1	4	NA
"72"	3	1	1	2	2	52	1	1	4	NA
"73"	3	1	1	2	1	27	1	1	4	NA
"74"	3	1	1	2	2	23	1	1	4	NA
"75"	3	1	1	2	1	27	1	1	4	NA
"76"	3	1	1	2	1	30	1	1	4	NA
"77"	3	1	1	2	1	22	1	1	4	NA
"78"	4	1	1	2	1	22	1	1	4	NA
"79"	4	1	1	2	1	27	1	1	4	NA
"80"	4	1	1	2	1	26	1	1	4	NA
"81"	4	1	1	2	1	19	1	1	4	NA
"82"	4	1	1	2	1	40	1	1	4	NA
"83"	5	1	1	2	1	35	1	1	4	NA
"84"	6	1	1	2	1	30	1	1	4	NA
"85"	6	1	1	2	1	24	1	1	4	NA
"86"	6	1	1	2	1	21	1	1	4	NA
"87"	6	1	1	2	2	24	1	1	4	NA
"88"	6	1	1	2	1	24	1	1	4	NA
"89"	6	1	1	2	1	18	1	1	4	NA
"90"	6	1	1	2	1	21	1	1	4	NA
"91"	6	1	1	2	2	26	1	1	4	NA
"92"	7	1	1	2	2	32	1	1	4	NA
"93"	7	1	1	2	2	48	1	1	4	NA
"94"	7	1	1	2	1	28	1	1	4	NA
"95"	7	1	1	2	1	24	1	1	4	NA
"96"	7	1	1	2	2	35	1	1	4	NA
"97"	7	1	1	2	1	26	1	1	4	NA
"98"	7	1	1	2	2	26	1	1	4	NA
"99"	8	1	1	2	2	60	1	1	4	NA
"100"	9	1	1	2	2	25	1	1	4	NA
"101"	9	1	1	2	1	28	1	1	4	NA
"102"	9	1	1	2	2	24	1	1	4	NA
"103"	9	1	1	2	2	25	1	1	4	NA
"104"	6	1	2	1	2	25	4	1	1	1
"105"	6	1	2	1	2	20	4	1	1	1
"106"	6	1	2	1	1	24	4	1	1	1
"107"	7	1	2	1	1	33	4	1	1	1
"108"	7	1	2	1	2	24	4	1	1	1
"109"	7	1	2	1	2	45	4	1	1	1
"110"	7	1	2	1	1	26	4	1	1	1
"111"	7	1	2	1	1	32	4	3	1	1
"112"	5	1	2	1	1	26	4	3	2	1
"113"	1	1	2	1	2	40	4	1	2	NA
"114"	1	1	2	1	2	21	4	1	2	NA
"115"	3	1	2	1	1	32	4	1	2	NA
"116"	3	1	2	1	1	23	4	1	2	NA
"117"	4	1	2	1	1	21	4	1	2	NA
"118"	4	1	2	1	1	35	4	1	2	NA
"119"	5	1	2	1	2	30	4	1	2	NA
"120"	5	1	2	1	1	28	4	1	2	NA
"121"	5	1	2	1	1	20	4	1	2	NA
"122"	5	1	2	1	2	23	4	1	2	NA
"123"	5	1	2	1	2	29	4	1	2	NA
"124"	5	1	2	1	1	35	4	1	2	NA
"125"	5	1	2	1	1	36	4	1	2	NA
"126"	5	1	2	1	2	21	4	1	2	NA
"127"	6	1	2	1	2	32	4	1	2	NA
"128"	6	1	2	1	1	24	4	1	2	NA
"129"	6	1	2	1	2	26	4	1	2	NA
"130"	6	1	2	1	1	32	4	1	2	NA
"131"	6	1	2	1	1	28	4	1	2	NA
"132"	6	1	2	1	2	38	4	1	2	NA
"133"	6	1	2	1	1	25	4	1	2	NA
"134"	7	1	2	1	2	27	4	1	2	NA
"135"	7	1	2	1	1	29	4	1	2	NA
"136"	7	1	2	1	1	25	4	1	2	NA
"137"	7	1	2	1	2	23	4	1	2	NA
"138"	7	1	2	1	1	28	4	1	2	NA
"139"	7	1	2	1	1	27	4	1	2	NA
"140"	7	1	2	1	2	23	4	1	2	NA
"141"	7	1	2	1	2	30	4	1	2	NA
"142"	7	1	2	1	1	21	4	1	2	NA
"143"	7	1	2	1	2	30	4	1	2	NA
"144"	7	1	2	1	1	45	4	1	2	NA
"145"	8	1	2	1	2	27	4	1	2	NA
"146"	8	1	2	1	1	32	4	1	2	NA
"147"	8	1	2	1	1	28	4	1	2	NA
"148"	8	1	2	1	2	38	4	1	2	NA
"149"	9	1	2	1	2	26	4	1	2	NA
"150"	9	1	2	1	1	24	4	1	2	NA
"151"	9	1	2	1	1	20	4	1	2	NA
"152"	9	1	2	1	2	59	4	1	2	NA
"153"	6	1	2	2	1	31	1	1	3	1
"154"	7	1	2	2	1	26	1	1	3	1
"155"	7	1	2	2	1	22	1	1	3	1
"156"	5	1	2	2	2	70	1	3	4	1
"157"	8	1	2	2	2	33	1	4	3	1
"158"	5	1	2	2	2	47	3	4	3	1
"159"	1	1	2	2	1	26	1	1	4	NA
"160"	3	1	2	2	2	30	1	1	4	NA
"161"	3	1	2	2	1	31	1	1	4	NA
"162"	3	1	2	2	1	26	1	1	4	NA
"163"	3	1	2	2	2	59	1	1	4	NA
"164"	3	1	2	2	2	58	1	1	4	NA
"165"	3	1	2	2	1	38	1	1	4	NA
"166"	4	1	2	2	1	24	1	1	4	NA
"167"	4	1	2	2	1	50	1	1	4	NA
"168"	5	1	2	2	1	50	1	1	4	NA
"169"	5	1	2	2	2	29	1	1	4	NA
"170"	5	1	2	2	2	34	1	1	4	NA
"171"	5	1	2	2	2	38	1	1	4	NA
"172"	5	1	2	2	1	42	1	1	4	NA
"173"	5	1	2	2	2	24	1	1	4	NA
"174"	5	1	2	2	1	21	1	1	4	NA
"175"	5	1	2	2	1	22	1	1	4	NA
"176"	6	1	2	2	2	60	1	1	4	NA
"177"	6	1	2	2	2	27	1	1	4	NA
"178"	6	1	2	2	2	26	1	1	4	NA
"179"	6	1	2	2	1	21	1	1	4	NA
"180"	6	1	2	2	2	22	1	1	4	NA
"181"	6	1	2	2	1	24	1	1	4	NA
"182"	6	1	2	2	2	22	1	1	4	NA
"183"	7	1	2	2	2	60	1	1	4	NA
"184"	7	1	2	2	1	27	1	1	4	NA
"185"	7	1	2	2	2	41	1	1	4	NA
"186"	7	1	2	2	1	39	1	1	4	NA
"187"	7	1	2	2	1	41	1	1	4	NA
"188"	7	1	2	2	1	28	1	1	4	NA
"189"	7	1	2	2	1	24	1	1	4	NA
"190"	7	1	2	2	1	26	1	1	4	NA
"191"	7	1	2	2	1	36	1	1	4	NA
"192"	7	1	2	2	1	29	1	1	4	NA
"193"	7	1	2	2	2	36	1	1	4	NA
"194"	7	1	2	2	1	20	1	1	4	NA
"195"	8	1	2	2	1	28	1	1	4	NA
"196"	8	1	2	2	1	30	1	1	4	NA
"197"	9	1	2	2	1	23	1	1	4	NA
"198"	5	2	1	1	1	24	4	1	1	1
"199"	7	2	1	1	1	18	4	1	2	1
"200"	7	2	1	1	2	35	4	1	2	1
"201"	7	2	1	1	2	42	4	1	2	1
"202"	9	2	1	1	2	33	4	1	2	1
"203"	9	2	1	1	1	25	4	1	2	1
"204"	3	2	1	1	2	33	4	3	1	1
"205"	7	2	1	1	2	21	4	3	1	1
"206"	7	2	1	1	1	36	4	3	1	1
"207"	7	2	1	1	1	57	4	3	1	1
"208"	7	2	1	1	2	41	4	3	1	1
"209"	9	2	1	1	1	18	4	3	1	1
"210"	2	2	1	1	2	29	4	4	2	1
"211"	7	2	1	1	2	23	4	4	2	1
"212"	1	2	1	1	2	27	4	3	2	NA
"213"	2	2	1	1	2	29	4	3	2	NA
"214"	3	2	1	1	2	25	4	3	2	NA
"215"	3	2	1	1	1	28	4	3	2	NA
"216"	3	2	1	1	1	51	4	3	2	NA
"217"	4	2	1	1	1	35	4	3	2	NA
"218"	5	2	1	1	2	31	4	3	2	NA
"219"	5	2	1	1	2	38	4	3	2	NA
"220"	5	2	1	1	1	37	4	3	2	NA
"221"	5	2	1	1	1	23	4	3	2	NA
"222"	5	2	1	1	2	27	4	3	2	NA
"223"	5	2	1	1	2	40	4	3	2	NA
"224"	5	2	1	1	1	27	4	3	2	NA
"225"	6	2	1	1	1	53	4	3	2	NA
"226"	6	2	1	1	1	24	4	3	2	NA
"227"	6	2	1	1	1	25	4	3	2	NA
"228"	6	2	1	1	1	20	4	3	2	NA
"229"	7	2	1	1	1	27	4	3	2	NA
"230"	7	2	1	1	1	25	4	3	2	NA
"231"	7	2	1	1	2	26	4	3	2	NA
"232"	7	2	1	1	1	28	4	3	2	NA
"233"	7	2	1	1	1	26	4	3	2	NA
"234"	7	2	1	1	1	29	4	3	2	NA
"235"	7	2	1	1	1	21	4	3	2	NA
"236"	7	2	1	1	1	23	4	3	2	NA
"237"	7	2	1	1	2	28	4	3	2	NA
"238"	8	2	1	1	1	21	4	3	2	NA
"239"	8	2	1	1	2	45	4	3	2	NA
"240"	8	2	1	1	1	19	4	3	2	NA
"241"	8	2	1	1	1	27	4	3	2	NA
"242"	8	2	1	1	1	24	4	3	2	NA
"243"	8	2	1	1	2	22	4	3	2	NA
"244"	9	2	1	1	1	36	4	3	2	NA
"245"	9	2	1	1	1	30	4	3	2	NA
"246"	1	2	1	2	2	62	1	1	4	1
"247"	3	2	1	2	2	22	1	1	4	1
"248"	3	2	1	2	2	35	1	1	4	1
"249"	4	2	1	2	1	29	1	1	4	1
"250"	7	2	1	2	1	20	1	1	4	1
"251"	7	2	1	2	1	29	1	1	4	1
"252"	7	2	1	2	2	26	1	1	4	1
"253"	1	2	1	2	2	63	1	1	4	1
"254"	6	2	1	2	2	25	1	3	3	1
"255"	8	2	1	2	1	25	1	3	3	1
"256"	7	2	1	2	1	27	1	3	NA	1
"257"	7	2	1	2	NA	NA	1	3	NA	1
"258"	7	2	1	2	1	31	1	4	3	1
"259"	5	2	1	2	NA	NA	NA	NA	NA	1
"260"	1	2	1	2	2	43	1	3	4	NA
"261"	1	2	1	2	2	18	1	3	4	NA
"262"	3	2	1	2	2	35	1	3	4	NA
"263"	3	2	1	2	1	23	1	3	4	NA
"264"	4	2	1	2	2	23	1	3	4	NA
"265"	5	2	1	2	2	21	1	3	4	NA
