"acceptability"	"important"	"direct"	"expensive"	"previoustrolley"	"gender"	"age"	"topiccomp"	"expensivecomp"	"importancecomp"	"failed"
"1"	3	1	1	1	2	2	25	4	2	2	1
"2"	7	1	1	1	2	2	30	4	1	1	NA
"3"	7	1	1	1	2	1	30	4	1	1	NA
"4"	7	1	1	1	2	2	45	4	1	1	NA
"5"	7	1	1	1	2	2	23	4	1	1	NA
"6"	7	1	1	1	2	2	33	4	2	2	1
"7"	7	1	1	1	2	1	30	4	1	1	NA
"8"	7	1	1	1	2	1	26	4	1	1	NA
"9"	9	1	1	1	1	1	28	4	2	2	1
"10"	5	1	1	1	1	2	24	4	2	2	1
"11"	8	1	1	1	1	1	32	4	1	1	NA
"12"	4	1	1	1	2	1	31	4	1	1	NA
"13"	8	1	1	1	1	2	27	4	1	1	NA
"14"	9	1	1	1	1	1	30	4	1	1	NA
"15"	4	1	1	1	2	2	60	4	1	1	NA
"16"	8	1	1	1	1	1	26	4	1	1	NA
"17"	6	1	1	1	2	1	20	4	1	1	NA
"18"	7	1	1	1	2	2	45	4	2	2	1
"19"	7	1	1	1	2	2	49	4	2	2	1
"20"	7	1	1	1	2	2	55	4	1	1	NA
"21"	6	1	1	1	2	2	20	4	1	1	NA
"22"	9	1	1	1	1	2	60	4	1	1	NA
"23"	7	1	1	1	2	1	28	4	1	1	NA
"24"	7	1	1	1	2	NA	58	4	1	1	NA
"25"	9	1	1	1	2	1	28	4	1	1	NA
"26"	7	1	1	1	2	1	26	4	1	1	NA
"27"	7	1	1	1	2	2	30	4	1	1	NA
"28"	3	1	1	1	2	2	19	4	1	1	NA
"29"	7	1	1	1	1	1	54	4	1	1	NA
"30"	7	1	1	1	2	1	24	4	1	1	NA
"31"	9	1	1	1	2	2	38	4	1	1	NA
"32"	3	1	1	1	2	2	29	4	1	1	NA
"33"	7	1	1	1	2	2	59	4	1	1	NA
"34"	7	1	1	1	2	2	27	4	1	1	NA
"35"	4	1	1	1	2	2	38	4	2	2	1
"36"	7	1	1	1	2	1	26	4	2	2	1
"37"	9	1	1	1	2	2	27	4	1	1	NA
"38"	5	1	1	1	2	1	20	4	1	1	NA
"39"	9	1	1	1	2	1	33	4	2	2	1
"40"	9	1	1	1	1	1	27	4	1	1	NA
"41"	7	1	1	1	2	1	32	4	1	1	NA
"42"	8	1	1	1	1	2	48	4	1	1	NA
"43"	5	1	1	1	2	2	28	4	1	1	NA
"44"	9	1	1	1	1	1	24	4	1	1	NA
"45"	7	1	1	1	2	2	24	4	2	2	1
"46"	5	1	1	1	1	1	26	4	2	2	1
"47"	6	1	1	1	1	2	35	4	1	1	NA
"48"	7	1	1	1	1	1	26	4	1	1	NA
"49"	6	1	1	1	2	1	38	4	1	1	NA
"50"	9	1	1	1	2	2	48	4	2	2	1
"51"	6	1	1	1	2	2	23	4	1	1	NA
"52"	3	1	1	1	2	1	33	4	1	1	NA
"53"	7	1	1	1	2	1	22	4	1	1	NA
"54"	1	1	1	1	2	1	62	4	1	1	NA
"55"	7	1	1	1	2	2	32	4	1	1	NA
"56"	4	1	1	1	1	2	35	4	1	1	NA
"57"	5	1	1	1	2	2	30	4	1	1	NA
"58"	3	1	1	1	2	1	21	4	1	1	NA
"59"	3	1	1	1	2	2	28	4	1	1	NA
"60"	7	1	1	1	2	1	21	4	1	1	NA
"61"	3	1	1	1	1	2	33	4	1	1	NA
"62"	3	1	1	1	2	2	28	4	1	1	NA
"63"	3	1	1	1	2	1	22	4	1	1	NA
"64"	3	1	1	1	2	1	26	4	1	1	NA
"65"	7	1	1	1	1	1	23	4	1	1	NA
"66"	7	1	1	1	2	1	38	4	1	1	NA
"67"	3	1	1	1	1	2	45	4	1	1	NA
"68"	7	1	1	1	2	1	37	4	1	1	NA
"69"	7	1	1	1	2	1	24	4	2	2	1
