"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"p7"	"p8"	"p9"	"p10"
"1"	75	77	80	61	67	66	99	85	77	82
"2"	81	94	76	70	79	83	80	81	99	75
"3"	79	75	89	70	94	77	67	94	83	81
"4"	89	88	85	73	70	61	88	89	74	68
"5"	81	65	90	84	70	82	88	65	89	88
"6"	83	76	70	90	91	76	65	100	82	83
"7"	74	72	74	81	60	104	86	89	61	70
"8"	87	76	70	84	70	86	72	86	77	102
"9"	72	92	50	61	88	74	72	93	64	74
"10"	76	79	83	85	86	84	68	66	74	71
"11"	81	82	92	89	91	80	80	81	75	71
"12"	81	83	87	72	82	84	66	63	94	75
"13"	78	74	67	75	95	102	60	88	65	83
"14"	87	66	71	78	78	74	58	82	81	78
"15"	81	77	62	75	79	86	81	75	82	95
"16"	80	81	92	83	76	93	89	83	76	68
"17"	76	90	77	74	83	71	72	92	73	93
"18"	85	77	70	76	60	66	74	84	87	78
"19"	71	77	89	73	79	77	87	83	85	74
"20"	103	96	77	88	71	81	82	91	82	70
"21"	76	72	65	68	83	83	96	104	83	79
"22"	88	84	80	89	88	86	78	87	96	71
"23"	83	74	80	83	76	71	76	71	90	71
"24"	88	84	82	79	86	97	102	88	77	93
"25"	72	65	84	82	82	96	79	93	79	98
"26"	76	75	74	105	91	70	67	84	77	74
"27"	73	77	86	85	74	84	87	71	92	78
"28"	82	90	68	93	63	84	81	70	76	68
"29"	68	75	93	87	87	71	84	80	69	78
"30"	82	83	74	79	78	88	85	66	86	84
"31"	79	76	84	66	86	81	96	85	90	81
"32"	98	71	86	92	80	103	93	90	87	77
"33"	79	87	77	83	90	67	79	85	90	73
"34"	79	75	64	85	74	69	84	69	82	81
"35"	73	93	77	84	83	95	88	77	63	61
"36"	78	84	74	78	86	78	84	99	84	72
"37"	82	78	76	77	74	87	80	56	91	88
"38"	84	85	88	73	89	68	93	76	87	73
"39"	91	80	87	56	91	91	87	78	73	55
"40"	90	85	82	64	56	84	76	91	88	64
"41"	79	76	73	98	73	88	73	74	93	95
"42"	94	59	106	56	80	73	71	78	100	99
"43"	62	82	64	84	97	85	67	76	93	62
"44"	86	87	64	86	69	82	87	84	81	86
"45"	75	70	83	70	91	83	76	67	89	76
"46"	93	69	107	90	93	83	80	103	93	74
"47"	76	76	77	75	70	87	69	76	90	86
"48"	93	75	67	80	78	75	80	77	87	85
"49"	80	84	76	94	79	97	54	76	90	77
"50"	61	81	105	76	84	71	59	78	64	73
"51"	76	90	72	79	61	69	91	79	77	77
"52"	63	97	75	93	47	85	63	76	99	74
"53"	82	80	77	79	89	81	75	85	87	65
"54"	99	80	87	76	80	70	67	79	73	92
"55"	57	83	87	91	77	81	73	59	77	67
"56"	90	77	75	76	83	78	81	70	70	73
"57"	66	79	61	94	81	70	97	75	97	76
"58"	98	79	99	77	89	83	94	102	62	67
"59"	94	83	68	86	58	96	82	83	98	72
"60"	72	81	75	53	62	93	75	67	66	91
"61"	77	78	82	66	97	109	83	101	95	87
"62"	79	81	84	113	63	87	70	86	102	96
"63"	76	78	68	89	63	73	81	100	84	91
"64"	106	88	83	92	80	78	93	77	81	70
"65"	81	80	89	83	81	87	75	85	77	88
"66"	73	74	85	80	65	69	75	66	94	64
"67"	86	77	89	53	76	70	88	89	96	93
"68"	82	73	71	81	86	71	84	72	80	95
"69"	79	82	79	75	74	82	85	74	70	80
"70"	79	88	91	94	79	84	89	95	92	74
"71"	84	86	85	76	93	73	79	71	81	81
"72"	69	82	84	94	72	79	56	68	79	84
"73"	68	79	91	87	86	96	87	88	82	70
"74"	96	83	76	87	63	75	65	72	75	93
"75"	59	79	86	73	75	75	84	90	80	89
"76"	80	60	72	61	101	93	87	101	111	90
"77"	69	84	77	84	84	81	79	98	90	77
"78"	83	76	82	85	90	85	82	84	75	80
"79"	90	93	86	65	94	95	92	79	85	88
"80"	59	102	53	79	79	89	88	87	69	83
"81"	89	68	91	77	80	85	93	91	67	89
"82"	80	86	84	81	91	78	67	88	71	86
"83"	67	81	94	73	82	73	71	88	73	83
"84"	61	75	91	77	70	89	84	77	77	78
"85"	87	86	86	68	75	72	80	55	62	83
"86"	78	87	82	90	84	84	74	79	82	64
"87"	82	79	87	75	79	75	89	71	87	71
"88"	88	77	79	73	73	80	79	92	93	89
"89"	97	69	86	87	81	88	90	82	66	60
"90"	79	74	84	79	78	83	71	88	81	89
"91"	74	78	88	75	92	76	82	87	86	81
"92"	94	77	73	93	78	77	73	66	82	70
"93"	71	90	76	90	92	97	67	87	61	87
"94"	68	77	84	68	69	51	88	87	103	82
"95"	75	99	69	74	75	86	86	83	88	69
"96"	104	76	76	90	63	58	66	71	80	73
"97"	72	96	83	63	80	77	83	92	71	70
"98"	84	82	98	69	74	71	77	63	85	103
"99"	68	69	88	68	54	77	68	95	97	68
"100"	68	86	67	69	73	105	82	91	97	59
