"sex"	"age"	"attention"	"prime"	"prime.duration"	"grandparents"	"walk"
"3"	"f"	22	1	"asdf"	30	"none"	34.5
"7"	"f"	20	1	"asdf"	10	"yes"	35.3
"9"	"f"	21	1	"asdf"	10	"no"	35.4
"11"	"f"	22	1	"asdf"	30	"yes"	35.2
"12"	"f"	22	1	"neutral"	10	"yes"	36.8
"15"	"f"	23	0	"asdf"	30	"yes"	34.2
"16"	"f"	22	1	"asdf"	10	"none"	-72.8104610252194
"20"	"f"	23	0	"elderly"	5	"yes"	48.9
"21"	"f"	23	0	"elderly"	5	"yes"	-54.4397116615437
"22"	"f"	22	1	"asdf"	1	"none"	34.3
"23"	"f"	23	1	"elderly"	10	"none"	45.1
"24"	"f"	22	1	"neutral"	10	"none"	34.7
"27"	"f"	22	1	"neutral"	1	"yes"	33.2
"28"	"f"	22	1	"elderly"	1	"no"	-87.7428909903392
"29"	"f"	23	1	"elderly"	1	"yes"	51.2
"32"	"f"	22	1	"asdf"	1	"yes"	-92.3492349451408
"34"	"f"	23	1	"asdf"	5	"no"	36
"35"	"f"	23	1	"elderly"	20	"no"	46
"36"	"f"	22	1	"neutral"	30	"none"	35
"38"	"f"	22	1	"asdf"	30	"no"	34.9
"39"	"f"	23	0	"neutral"	30	"none"	35.6
"42"	"f"	21	1	"neutral"	10	"none"	35.3
"43"	"f"	22	1	"neutral"	1	"none"	32.9
"44"	"f"	22	1	"elderly"	5	"no"	45.5
"45"	"f"	21	1	"asdf"	5	"yes"	36.6
"47"	"f"	22	1	"neutral"	10	"no"	36.5
"48"	"f"	24	1	"neutral"	20	"no"	36.4
"55"	"f"	22	1	"neutral"	5	"yes"	35
"59"	"f"	20	1	"elderly"	1	"no"	45.5
"62"	"f"	21	1	"neutral"	10	"none"	36
"63"	"f"	22	1	"elderly"	30	"none"	44.2
"64"	"f"	22	1	"asdf"	30	"no"	35.5
"70"	"f"	23	1	"elderly"	1	"yes"	50.5
"73"	"f"	22	1	"asdf"	5	"yes"	35.5
"74"	"f"	22	1	"neutral"	30	"none"	36.2
"75"	"f"	22	1	"neutral"	10	"yes"	34.8
"76"	"f"	24	1	"elderly"	1	"yes"	48.8
"77"	"f"	22	1	"neutral"	30	"none"	35.9
"78"	"f"	23	1	"neutral"	10	"yes"	-50.3841078002006
"79"	"f"	23	1	"asdf"	30	"no"	34.9
"82"	"f"	23	1	"elderly"	1	"yes"	49.2
"83"	"f"	22	1	"asdf"	30	"no"	35.8
"84"	"f"	22	1	"elderly"	1	"none"	45.6
"86"	"f"	22	1	"asdf"	10	"no"	34.7
