"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"
"1"	1	1	26	"hispanic"	"green"	"cannon"	"MS"	1	1	74	633.568434265225	6
"2"	2	1	28	"white"	"brown"	"cannon"	"MS"	2	1	79	681.065460144498	6
"3"	3	1	25	"white"	"green"	"eyepatch"	"MS"	3	0	48	717.698756826995	6
"4"	4	1	27	"black"	"brown"	"cannon"	"MS"	4	0	47	858.835014469541	6
"5"	5	1	29	"asian"	"brown"	"glasses"	"HighSchool"	5	0	26	961.334259169428	4
"6"	6	0	23	"white"	"green"	"eyepatch"	"HighSchool"	1	0	75	694.777331240722	4
"7"	7	0	28	"white"	"brown"	"accurate"	"MS"	2	1	58	693.49075855055	3
"8"	8	1	30	"white"	"brown"	"accurate"	"BA"	3	0	53	781.397235848287	5
"9"	9	1	29	"white"	"green"	"cannon"	"HighSchool"	4	0	41	845.549186305006	5
"10"	10	1	30	"white"	"green"	"glasses"	"BA"	5	0	20	988.189604935164	5
"11"	11	1	26	"white"	"green"	"eyepatch"	"PhD"	1	1	71	683.419485429167	6
"12"	12	0	28	"black"	"brown"	"glasses"	"BA"	2	0	60	634.895338059922	4
"13"	13	0	27	"black"	"brown"	"eyepatch"	"PhD"	3	1	59	833.876526680386	4
"14"	14	1	28	"hispanic"	"green"	"accurate"	"MS"	4	0	38	899.268104567743	5
"15"	15	0	31	"white"	"brown"	"cannon"	"PhD"	5	1	31	916.628427284918	4
"16"	16	0	28	"white"	"brown"	"glasses"	"MS"	1	NA	85	629.549672270807	4
"17"	17	0	26	"white"	"brown"	"accurate"	"HighSchool"	2	1	71	586.990716091448	4
"18"	18	0	29	"other"	"brown"	"accurate"	"MS"	3	0	55	749.226319846605	3
"19"	19	0	31	"white"	"brown"	"accurate"	"BA"	4	1	38	886.589589928669	3
"20"	20	0	28	"asian"	"green"	"glasses"	"MS"	5	0	6	1019.76942497979	1
"21"	21	0	27	"white"	"brown"	"eyepatch"	"PhD"	1	1	77	586.725352420654	4
"22"	22	0	28	"white"	"brown"	"cannon"	"HighSchool"	2	0	54	749.037938979794	4
"23"	23	0	28	"asian"	"green"	"cannon"	"HighSchool"	3	0	49	833.096394761608	4
"24"	24	0	28	"white"	"green"	"accurate"	"HighSchool"	4	1	30	885.859202520264	3
"25"	25	0	30	"other"	"brown"	"eyepatch"	"HighSchool"	5	0	27	963.15213214642	2
